District,School Name,City,Report Period,Total Cases,Academic Year,Date Updated
New Haven School District,Early Learning Center-Gateway Comm College,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Lincoln Bassett Integrated PK,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Saint Bernadette School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Edith B. Jackson,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Clinton Avenue School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Saint Brendan School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Farnam Nursery School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,"Chapel Haven Schleifer Center, Inc.",New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Hill Central Music Academy,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,St. Francis & St. Rose of Lima School-New Haven,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Leila Day Nursery,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,"Chapel Haven Schleifer Center, Inc.",New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,John S. Martinez Sea and Sky STEM School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Yeshiva Gedolah Rabbinical Institute of New England,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,LULAC Head Start-Fay Miller,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Davis Academy for Arts & Design Innovation,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Passages,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Montessori School on Edgewood,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Ross/Woodward School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Morning Glory Early Learning Center,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,ATLAS Middle School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Edgewood School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Phyllis Bodel Center,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,John C. Daniels,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,The Cheder New Haven,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Nathan Hale School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Saint Thomas's Day School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Saint Aedan Elementary School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Yale Child Study Center School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Augusta Lewis Troup School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Fair Haven School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Cold Spring School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Engineering - Science University Magnet School,West Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,St. Andrew's Child Care Center,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Benjamin Jepson Magnet School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,United Community Nursery,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Mauro-Sheridan Magnet School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Liberty Educational Service Center,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Westville Community Nursery School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Lincoln-Bassett School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Yale New Haven Hospital Child Care,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Brennan Rogers School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,YMCA Youth Center,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Early Childhood Learning Center,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Dr. Reginald Mayo Early Learning Center,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,BOE-Zigler Head Start,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Barack H. Obama Magnet University School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,LULAC Head Start - Mill River Center,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Truman School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Bethesda Nursery School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,King/Robinson Magnet School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,The Little School House,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Conte/West Hills Magnet School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Wexler/Grant Community School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Yale New Haven Hospital St. Raphael Campus,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Benjamin Jepson Head Start,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Quinnipiac Real World Math STEM School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Elizabeth Celotto Child Care Center,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Friends Center for Children,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Job Corps Child Development Center,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Worthington Hooker School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,LULAC Head Start Crossroads Center,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Morning Glory Infant Toddler Center,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Hamden Youth Services,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Columbus Family Academy,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Phyllis Bodel Center-Yale School of Medicine (South Side),New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Roberto Clemente Leadership Academy for Global Awareness,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,LULAC Polly T. McCabe CEnter,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Bishop Woods Architecture and Design Magnet School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,The Children’s Community Programs - Home Visiting,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Cornell Scott Hill Health Corporation,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,"Family Centered Services of CT, Inc. - Home Visiting",New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,East Rock Community Magnet School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Fair Haven Community Health Clinic Inc. - Home Visiting,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,City of New Haven - Home Visiting,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,"Celentano BioTech, Health and Medical Magnet School",New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Visiting Nurse Association of South Central Connecticut - Home Visiting,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,West Rock Authors Academy,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Yale - New Haven Hospital - Home Visiting,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,St. Martin de Porres Academy-New Haven,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Creative M.e.,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Elm City,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Health Dept of New Haven,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Auntie Rose Child Care Development Center LLC,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Clifford Beers,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Betsy Ross Arts Magnet School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Metropolitan Business Academy,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Wilbur Cross High School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Hopkins,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,James Hillhouse High School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Hill Regional Career High School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Cooperative High School - Inter-District Magnet,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,High School In The Community,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Sound School,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,New Haven Academy,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Brennan Rogers Self Contained Autism,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Off-Campus Classroom Program (OCC),New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Celentano Self Contained ID,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,East Rock Self Contained MD,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Barack H. Obama Self Contained Autism,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Nathan Hale Self Contained ID,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Clinton Self Contained ID,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Bishop Woods Self Contained Autism,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,West Rock Self Contained Autism,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Wilbur Cross Self Contained MD,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Wexler Grant Self Contained,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Fair Haven Self Contained ID,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Riverside Education Academy,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Newington School District,Southfield Children's Center,Newington,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Newington School District,Elizabeth Green School,Newington,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Newington School District,Emmanuel Christian Academy,Newington,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Newington School District,Anna Reynolds School,Newington,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Newington School District,Ruth Chaffee School,Newington,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Newington School District,John Paterson School,Newington,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Newington School District,Martin Kellogg Middle School,Newington,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Newington School District,John Wallace Middle School,Newington,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Newington School District,Newington High School,Newington,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Waterford School District,Solomon Schechter Academy,Waterford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,Connecticut College Child Development Lab School,New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,Saint Joseph-New London,New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,"Sharp Training, Inc.",New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,C.B. Jennings International Elementary Magnet,New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,Child Works-Shiloh Family Life Center,New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Waterford School District,Buckingham Community Services,Waterford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,High Road School of New London Middle/High School,New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,Connecticut College Child Care,New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,"Thames Academy, Mitchell College",New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,New London Day Nursery,New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,Harbor Elementary School,New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,Children's Learning Center at Mitchell College,New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,TVCCA - Bayonet St. ECE,New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,Pre-Kindergarten at Winthrop,New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,Winthrop STEM Elementary Magnet School,New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,High Road School of New London Primary School,New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,TVCCA - Bayonet St. HS,New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,Nathan Hale Arts Magnet School,New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,College Steps at Connecticut College,New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,The Center: A Drop-In Community,New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,Academy of St. Therese,New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,Lawrence and Memorial Hospital - Home Visiting,New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwich School District,"Whole Life, Inc.",Norwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,Science and Technology Magnet School of Southeastern Connecticut,New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,New London Visual and Performing Arts Magnet School,New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,Bennie Dover Jackson Middle School,New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,New London High School,New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,The Williams School,New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Milford School District,New Milford Public Schools Expulsion Program,New Milford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Milford School District,Grace Christian Academy,New Milford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Milford School District,LC-Hill and Plain,New Milford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Milford School District,LC-New Milford Head Start/John Pettibone School,New Milford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Milford School District,Children's Center of New Milford,New Milford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Milford School District,New Milford VNA - Home Visiting,New Milford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Milford School District,Hill And Plain School,New Milford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Milford School District,Northville Elementary School,New Milford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Milford School District,Sarah Noble Intermediate School,New Milford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Milford School District,Faith Preparatory School,New Milford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Milford School District,Schaghticoke Middle School,New Milford,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
New Milford School District,Schaghticoke Middle School,New Milford,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
New Milford School District,New Milford High School,New Milford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Milford School District,Canterbury School,New Milford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Milford School District,Litchfield Hills Transition Center,New Milford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Newtown School District,Hawley Elementary School,Newtown,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Newtown School District,Hawley Elementary School,Newtown,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Newtown School District,Fraser Woods Montessori School,Newtown,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Newtown School District,Children's Adventure Center,Newtown,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Newtown School District,Sandy Hook Elementary School,Newtown,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Newtown School District,Housatonic Valley Waldorf School,Newtown,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Newtown School District,Middle Gate Elementary School,Newtown,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Newtown School District,Middle Gate Elementary School,Newtown,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Newtown School District,Head O'Meadow Elementary School,Newtown,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Newtown School District,Reed Intermediate School,Newtown,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Newtown School District,Reed Intermediate School,Newtown,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Newtown School District,Newtown Community Partnership,Newtown,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Newtown School District,Reaching Independence through Structured Education,Newtown,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Newtown School District,Program for Adaptive Learning,Newtown,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Newtown School District,Newtown Middle School,Newtown,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Newtown School District,Saint Rose of Lima-Newtown,Newtown,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Newtown School District,Newtown High School,Newtown,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Newtown School District,Newtown Preschool,Newtown,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Norfolk School District,Botelle Elementary School,Norfolk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
North Branford School District,Jerome Harrison School,North Branford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
North Branford School District,Totoket Valley Elementary School,Northford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
North Branford School District,North Branford Intermediate School,North Branford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
North Branford School District,North Branford High School,North Branford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
North Branford School District,School to Work Program,Northford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
North Canaan School District,North Canaan Elementary School,North Canaan,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
North Canaan School District,Canaan Child Care Center,North Canaan,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
North Haven School District,North Haven Transition Partnership,North Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
North Haven School District,SARAH in Action - North Haven,North Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
North Haven School District,Community Service Day Care,North Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
North Haven School District,Elizabeth Ives School for Special Children,North Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New Haven School District,Step Forward I/II & HFASDP at Gateway Community College,New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
North Haven School District,Montowese Elementary School,North Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
North Haven School District,Ridge Road Elementary School,North Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
North Haven School District,Green Acres Elementary School,North Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
North Haven School District,Clintonville Elementary School,North Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
North Haven School District,North Haven Middle School,North Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
North Haven School District,North Haven High School,North Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
North Stonington School District,North Stonington Elementary School,North Stonington,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
North Stonington School District,North Stonington Christian Academy,North Stonington,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
North Stonington School District,Cornerstone Baptist Academy,North Stonington,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
North Stonington School District,Wheeler High School,North Stonington,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Norwalk Early Childhood Center,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Anchor Academy,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Benjamin Franklin Head Start,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Brookside Elementary School,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,College Steps at Norwalk Community College,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Nathaniel Ely,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Columbus Magnet School,Norwalk,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Norwalk School District,Cranbury Elementary School,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Center for Global Studies,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Star Rubino Center for Infant and Child Development Services,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Carousel Preschool,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Norwalk 18-21 Project SEARCH,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,CFS/Room to Grow,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Jefferson Magnet School,Norwalk,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Norwalk School District,Winston Preparatory School,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Bouton Street - Children's Playhouse,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Kendall Elementary School,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,The Marvin “Under One Roof”,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,P-TECH Norwalk,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,West Avenue Children's Playhouse,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Norwalk Alternative Opportunity Program,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Norwalk Community College,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Norwalk 18-21 Next Steps (NNS),Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Little Critters Preschool Inc.,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Growing Seeds CDC,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Rowayton School,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Room to Grow - Two Catholic Family Service,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Tracey Magnet School,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Gibson Educational - Odyssey,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Benjamin Franklin - Growing Seeds,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Families and Children Agency - Home Visiting,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Stepping Stones Early Learning Lab School,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Fox Run Elementary School,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Naramake Elementary School,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Marvin Elementary School,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Silvermine Dual Language Magnet School,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Wolfpit School,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Nathan Hale Middle School,Norwalk,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Norwalk School District,Ponus Ridge Middle School,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,West Rocks Middle School,Norwalk,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Norwalk School District,Roton Middle School,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Norwalk High School,Norwalk,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Norwalk School District,All Saints Catholic School,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,Brien McMahon High School,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwalk School District,High Road School of Fairfield County,Norwalk,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwich School District,Bishop School Early Learning Center,Norwich,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Norwich School District,Case Street Early Learning Center at DTZ,Norwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Norwich School District,Saint Patrick Cathedral School,Norwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
